cpr,kan_R,kan_python
1203913055,FALSE,FALSE
1308952064,TRUE,TRUE
2410936634,TRUE,FALSE
1605952976,FALSE,TRUE
2802942759,TRUE,FALSE
2007903527,FALSE,TRUE
2406877802,FALSE,FALSE
1002624535,FALSE,TRUE
0312717659,FALSE,FALSE
1508663376,FALSE,TRUE
2604582854,FALSE,TRUE
2901920929,FALSE,FALSE
0612599191,TRUE,FALSE
1710544391,TRUE,FALSE
0203741700,TRUE,FALSE
2006898529,TRUE,FALSE
1508822323,TRUE,FALSE
1806671761,TRUE,TRUE
2203796455,TRUE,TRUE
2309753095,FALSE,TRUE
1209863873,FALSE,TRUE
1410631561,FALSE,TRUE
0406651105,TRUE,TRUE
2101561912,TRUE,TRUE
3004698469,FALSE,TRUE
1502985770,TRUE,TRUE
2909671893,FALSE,TRUE
0604740472,TRUE,TRUE
2707963524,TRUE,TRUE
0210849986,FALSE,TRUE
0107919688,FALSE,FALSE
2209817936,TRUE,FALSE
2308782270,FALSE,FALSE
2708656435,TRUE,TRUE
1411694170,TRUE,FALSE
1906753605,TRUE,FALSE
3004557692,TRUE,FALSE
0808928137,TRUE,TRUE
1508778094,TRUE,TRUE
1412782056,TRUE,FALSE
3006696398,TRUE,TRUE
0603824820,FALSE,TRUE
1211943688,FALSE,FALSE
1503702028,TRUE,FALSE
0812619422,FALSE,FALSE
2011745206,FALSE,TRUE
0303713747,TRUE,TRUE
0304787802,FALSE,FALSE
0310799028,TRUE,TRUE
1712663091,FALSE,TRUE
2207992835,TRUE,FALSE
2304911513,FALSE,TRUE
0406939789,TRUE,FALSE
2605826996,TRUE,TRUE
2210790375,TRUE,TRUE
2607990373,FALSE,TRUE
2108792544,TRUE,TRUE
2905812549,FALSE,TRUE
3006729814,TRUE,FALSE
2907882035,FALSE,TRUE
0606749087,FALSE,FALSE
1712601250,TRUE,FALSE
1305786359,FALSE,TRUE
0606823644,TRUE,FALSE
1511902481,FALSE,TRUE
1003803397,FALSE,TRUE
2305518182,TRUE,FALSE
2602956891,FALSE,FALSE
2211772015,TRUE,FALSE
2103786602,FALSE,FALSE
0711914108,TRUE,FALSE
1602932501,TRUE,TRUE
2210708383,FALSE,TRUE
2105781385,TRUE,FALSE
2811533018,FALSE,FALSE
2312675667,TRUE,FALSE
2802989822,TRUE,FALSE
2708874222,FALSE,TRUE
1701699896,TRUE,FALSE
1706885765,FALSE,TRUE
1504853365,FALSE,FALSE
2402619610,FALSE,FALSE
1104904806,TRUE,FALSE
1011785367,TRUE,FALSE
0805801688,FALSE,FALSE
1502925007,TRUE,TRUE
2812519384,TRUE,TRUE
2707729329,TRUE,FALSE
0306842996,FALSE,FALSE
1702542362,FALSE,TRUE
0911783062,TRUE,FALSE
2512794965,FALSE,TRUE
2802759297,FALSE,TRUE
1603892034,FALSE,TRUE
2410855031,TRUE,TRUE
0402860004,FALSE,FALSE
1309676930,FALSE,FALSE
2308882618,TRUE,FALSE
2911912106,TRUE,FALSE
2012804886,TRUE,FALSE
3008776996,FALSE,FALSE
0406934417,TRUE,FALSE
2609901471,FALSE,TRUE
1111631412,FALSE,TRUE
1905879738,FALSE,FALSE
0307788673,FALSE,TRUE
1312805625,TRUE,FALSE
2604879898,TRUE,TRUE
1107837007,TRUE,FALSE
0802515634,TRUE,FALSE
2603756099,TRUE,TRUE
0306825024,TRUE,FALSE
1703791658,FALSE,FALSE
0702894672,FALSE,FALSE
2412633292,FALSE,TRUE
2404754525,TRUE,FALSE
1502867413,FALSE,TRUE
2104806663,TRUE,FALSE
1701737644,FALSE,FALSE
1706767637,FALSE,FALSE
0803663211,TRUE,TRUE
1810868113,TRUE,TRUE
0306839698,FALSE,FALSE
1512979990,TRUE,FALSE
1306779269,TRUE,TRUE
2302663530,TRUE,TRUE
0810631903,TRUE,FALSE
0211827347,TRUE,TRUE
2408940088,FALSE,FALSE
2012634035,FALSE,FALSE
1205825246,TRUE,TRUE
0805965416,TRUE,TRUE
2504889858,FALSE,FALSE
1804828434,TRUE,TRUE
0909718904,FALSE,FALSE
2603553252,TRUE,FALSE
2006959083,TRUE,TRUE
1808810434,TRUE,TRUE
0610753150,FALSE,TRUE
0904666858,FALSE,FALSE
1304810636,TRUE,FALSE
1109888064,TRUE,TRUE
1903776663,FALSE,FALSE
2904962951,FALSE,TRUE
0407790744,FALSE,TRUE
2707720714,FALSE,FALSE
1004927204,FALSE,TRUE
1712871511,TRUE,FALSE
0704952418,TRUE,TRUE
0212862032,TRUE,FALSE
1805623117,TRUE,TRUE
0805855289,FALSE,TRUE
0208981398,TRUE,TRUE
1201725757,FALSE,TRUE
1208996931,TRUE,FALSE
1405572758,FALSE,FALSE
0106799955,FALSE,TRUE
0801705713,TRUE,FALSE
2904770334,FALSE,FALSE
1710750519,TRUE,FALSE
2212540711,FALSE,FALSE
1902635090,TRUE,FALSE
1407519867,FALSE,TRUE
0705529775,FALSE,TRUE
2611800001,TRUE,TRUE
0107576994,TRUE,FALSE
1012888774,TRUE,TRUE
1109987065,TRUE,TRUE
0106993012,TRUE,FALSE
1812632808,TRUE,TRUE
2412972703,TRUE,FALSE
2512834632,FALSE,TRUE
0904840157,TRUE,FALSE
2211947686,FALSE,TRUE
2406782219,TRUE,FALSE
0210837493,FALSE,FALSE
2807674994,FALSE,TRUE
2511674612,FALSE,FALSE
2802670371,TRUE,FALSE
1812758352,FALSE,TRUE
3012874740,TRUE,FALSE
0512915780,TRUE,TRUE
1511852930,TRUE,TRUE
1505819368,FALSE,FALSE
1704549798,TRUE,TRUE
1803855354,FALSE,TRUE
2006903352,TRUE,FALSE
2809927860,FALSE,FALSE
2711925159,TRUE,FALSE
0503840385,TRUE,TRUE
0902654839,TRUE,TRUE
0409658634,TRUE,TRUE
0705838537,TRUE,TRUE
0808724879,TRUE,FALSE
3009979361,TRUE,TRUE
1312951054,TRUE,FALSE
1109888446,FALSE,TRUE
2906715330,TRUE,TRUE
0705695999,FALSE,FALSE
1712551966,TRUE,TRUE
0501961509,FALSE,TRUE
0902871702,FALSE,TRUE
2305882713,FALSE,FALSE
1412504103,FALSE,TRUE
0807615655,FALSE,TRUE
2311724109,FALSE,TRUE
0803560341,TRUE,TRUE
1609866409,FALSE,FALSE
0402829732,FALSE,FALSE
0912723725,TRUE,TRUE
2909932856,TRUE,FALSE
2911895156,FALSE,TRUE
2912773094,FALSE,TRUE
2410865715,TRUE,FALSE
1608680418,FALSE,FALSE
2601769839,TRUE,FALSE
1605935335,FALSE,FALSE
0205798602,FALSE,TRUE
1402616053,FALSE,FALSE
1211734040,TRUE,TRUE
2302520523,FALSE,TRUE
1702630672,FALSE,TRUE
0706614024,TRUE,TRUE
1405900129,TRUE,TRUE
0204877658,FALSE,TRUE
0808891020,TRUE,FALSE
2307590531,TRUE,TRUE
1708989878,TRUE,FALSE
0204790821,FALSE,TRUE
0108821511,FALSE,FALSE
2208714568,FALSE,TRUE
0905706389,FALSE,TRUE
2006858809,FALSE,FALSE
0603809451,FALSE,TRUE
2306878460,FALSE,FALSE
2302563569,TRUE,TRUE
2203913793,FALSE,TRUE
2009755282,FALSE,FALSE
2403661459,FALSE,FALSE
2611898231,FALSE,TRUE
2010624719,TRUE,TRUE
2807930921,FALSE,TRUE
0501855101,FALSE,TRUE
1908850351,TRUE,TRUE
2606897494,TRUE,TRUE
0107726971,TRUE,TRUE
2802748975,TRUE,FALSE
1002862951,TRUE,FALSE
