cpr,municipality,salary
1203913055,Esbjerg,377218
1308952064,Sønderborg,286903
2410936634,Thisted,337835
1605952976,København,273928
2802942759,Silkeborg,318220
2007903527,Syddjurs,325773
2406877802,Horsens,327235
1002624535,Dragør,689159
0312717659,Hvidovre,544341
1508663376,Herning,554418
2604582854,København,666480
2901920929,København,277377
0612599191,København,689379
1710544391,Stevns,680258
0203741700,Esbjerg,520958
2006898529,Ringsted,346395
1508822323,Rebild,476643
1806671761,Slagelse,584394
2203796455,Brønderslev,522266
2309753095,Tårnby,497299
1209863873,Skanderborg,390921
1410631561,Odense,622105
0406651105,København,609515
2101561912,Frederiksberg,730376
3004698469,København,534384
1502985770,Vejen,318951
2909671893,Herning,630844
0604740472,Aalborg,476211
2707963524,Vejle,328914
0210849986,Aalborg,359092
0107919688,Holbæk,312785
2209817936,Hillerød,503710
2308782270,København,432025
2708656435,Billund,594380
1411694170,Viborg,570103
1906753605,Varde,489709
3004557692,Gladsaxe,653196
0808928137,Thisted,384212
1508778094,Aarhus,543431
1412782056,København,434667
3006696398,Dragør,558544
0603824820,Fanø,409003
1211943688,Halsnæs,280953
1503702028,Lyngby-Taarbæk,580763
0812619422,Sønderborg,617865
2011745206,Aabenraa,501566
0303713747,Herlev,555659
0304787802,København,427659
0310799028,Favrskov,397241
1712663091,Randers,573876
2207992835,Tårnby,257049
2304911513,Glostrup,351527
0406939789,Ærø,283838
2605826996,Fredensborg,431209
2210790375,Aarhus,429082
2607990373,Aalborg,277988
2108792544,Aarhus,467063
2905812549,Odense,437121
3006729814,Holstebro,529223
2907882035,Gladsaxe,320574
0606749087,Skanderborg,516168
1712601250,Ballerup,648280
1305786359,Aarhus,491986
0606823644,Aarhus,438130
1511902481,Vesthimmerlands,420616
1003803397,Lolland,504600
2305518182,Gladsaxe,717701
2602956891,København,314237
2211772015,Allerød,487165
2103786602,København,426514
0711914108,Aalborg,291169
1602932501,Glostrup,299177
2210708383,Fredericia,507234
2105781385,Sønderborg,478327
2811533018,Ringkøbing-Skjern,662304
2312675667,Esbjerg,615170
2802989822,Frederiksberg,242913
2708874222,Aalborg,349277
1701699896,Gentofte,551538
1706885765,Aabenraa,399750
1504853365,Lyngby-Taarbæk,458533
2402619610,Kalundborg,592850
1104904806,København,342779
1011785367,København,511783
0805801688,Helsingør,427384
1502925007,København,347878
2812519384,Gentofte,688942
2707729329,Fredericia,554052
0306842996,Lyngby-Taarbæk,330741
1702542362,Aarhus,648460
0911783062,Vordingborg,426323
2512794965,Holstebro,377874
2802759297,Odense,487453
1603892034,Guldborgsund,260800
2410855031,Sorø,441897
0402860004,Silkeborg,386053
1309676930,Hvidovre,513455
2308882618,Vejle,370916
2911912106,Frederiksberg,294955
2012804886,Herning,484538
3008776996,Frederiksberg,433653
0406934417,Guldborgsund,382141
2609901471,Sønderborg,363459
1111631412,Svendborg,576627
1905879738,Ikast-Brande,315045
0307788673,Hvidovre,454464
1312805625,Gladsaxe,499781
2604879898,Furesø,440892
1107837007,Ikast-Brande,447456
0802515634,København,729951
2603756099,Tårnby,512875
0306825024,Stevns,452696
1703791658,Glostrup,422669
0702894672,Køge,282767
2412633292,Holbæk,638005
2404754525,Odense,516412
1502867413,Hvidovre,379661
2104806663,Vejen,489844
1701737644,Vordingborg,462214
1706767637,Horsens,501073
0803663211,Faaborg-Midtfyn,608319
1810868113,Tønder,417272
0306839698,København,409982
1512979990,Kalundborg,304998
1306779269,Frederikshavn,493832
2302663530,Ringsted,589546
0810631903,Aarhus,611864
0211827347,Silkeborg,456056
2408940088,Gentofte,301943
2012634035,Aalborg,630249
1205825246,Silkeborg,385226
0805965416,Aarhus,279378
2504889858,Skive,383106
1804828434,Lolland,417622
0909718904,Faxe,428308
2603553252,Gladsaxe,659555
2006959083,Frederikssund,340381
1808810434,København,489505
0610753150,Albertslund,487286
0904666858,Aabenraa,588394
1304810636,Aarhus,424855
1109888064,Aarhus,363762
1903776663,Lyngby-Taarbæk,491704
2904962951,Norddjurs,305990
0407790744,Aarhus,426647
2707720714,Rudersdal,517929
1004927204,Herning,262265
1712871511,København,426313
0704952418,Helsingør,259744
0212862032,Herning,299108
1805623117,København,631234
0805855289,Norddjurs,441410
0208981398,Hjørring,249912
1201725757,Hillerød,570776
1208996931,Varde,271368
1405572758,Aalborg,666515
0106799955,Ballerup,486765
0801705713,Kolding,578510
2904770334,Billund,465016
1710750519,Aalborg,522516
2212540711,Aarhus,674841
1902635090,Roskilde,597523
1407519867,Aarhus,772159
0705529775,Ballerup,747313
2611800001,Gladsaxe,454777
0107576994,Frederikshavn,672754
1012888774,København,344611
1109987065,Ikast-Brande,251475
0106993012,København,247579
1812632808,Aalborg,613395
2412972703,København,287274
2512834632,Faaborg-Midtfyn,409132
0904840157,Hvidovre,401497
2211947686,Roskilde,272110
2406782219,Herlev,456564
0210837493,Guldborgsund,435709
2807674994,Fredericia,541565
2511674612,Vesthimmerlands,572622
2802670371,Aalborg,616439
1812758352,Rudersdal,477331
3012874740,Ballerup,344509
0512915780,København,290544
1511852930,Frederikshavn,418446
1505819368,Lyngby-Taarbæk,403254
1704549798,Lyngby-Taarbæk,694161
1803855354,Hjørring,420826
2006903352,Furesø,392242
2809927860,Kolding,227031
2711925159,Viborg,313539
0503840385,Nordfyns,447893
0902654839,Næstved,610580
0409658634,Viborg,557705
0705838537,Aarhus,432712
0808724879,Aarhus,461584
3009979361,København,287410
1312951054,Syddjurs,279032
1109888446,København,360610
2906715330,Norddjurs,616939
0705695999,Silkeborg,619743
1712551966,Viborg,673918
0501961509,Svendborg,309925
0902871702,Gladsaxe,345225
2305882713,Bornholm,379624
1412504103,Favrskov,764604
0807615655,Lolland,642941
2311724109,Nyborg,548369
0803560341,København,716807
1609866409,København,402255
0402829732,Holbæk,400738
0912723725,København,590681
2909932856,Frederikssund,315052
2911895156,Haderslev,410747
2912773094,Lyngby-Taarbæk,472102
2410865715,Vejle,500338
1608680418,Greve,587958
2601769839,Svendborg,486225
1605935335,Holstebro,303372
0205798602,Aalborg,468708
1402616053,Ringsted,600677
1211734040,Haderslev,486234
2302520523,Fredericia,772650
1702630672,Gladsaxe,630286
0706614024,Brønderslev,643040
1405900129,Glostrup,342355
0204877658,København,351766
0808891020,Frederikssund,317931
2307590531,Hjørring,715585
1708989878,Helsingør,268519
0204790821,Ikast-Brande,468637
0108821511,Vallensbæk,405951
2208714568,København,512526
0905706389,Lyngby-Taarbæk,573186
2006858809,Viborg,404071
0603809451,Assens,447518
2306878460,Haderslev,365944
2302563569,Frederiksberg,713456
2203913793,Ishøj,364511
2009755282,Aarhus,390790
2403661459,Gladsaxe,543663
2611898231,Haderslev,323547
2010624719,København,646982
2807930921,Aarhus,319030
0501855101,København,403477
1908850351,Jammerbugt,462517
2606897494,Glostrup,391966
0107726971,Esbjerg,583379
2802748975,Hjørring,546347
1002862951,Kolding,436480
1206803177,Aarhus,445481
1407786169,Frederiksberg,513259
0110817348,Nyborg,423618
3012722300,Rødovre,526512
1902650825,Horsens,572907
3009636816,Viborg,629188
1507922716,Aabenraa,354026
2007647453,Lemvig,625410
2806968654,Horsens,315009
0707849612,Næstved,378805
2310772092,Næstved,431806
1202812512,Fredensborg,460946
1704783055,Aalborg,464008
1110737914,København,474258
1510855364,Viborg,335112
2007871824,Vejle,357058
2107574375,Aalborg,705362
0801837263,Faaborg-Midtfyn,406326
2312943994,Vejen,267433
1512974693,Fredericia,293761
2507746273,Mariagerfjord,474025
0311917934,København,343588
0806507222,København,705796
1709945013,Odsherred,326835
3105891414,Esbjerg,367685
2701937939,Ishøj,350714
0707898845,Faaborg-Midtfyn,384079
0409695719,Assens,601672
1612737634,Aalborg,530628
1201635842,Gladsaxe,525523
2606791502,Odsherred,457325
