cpr,height,weight,hair_len
1203913055,1.8,82.1,7.5
1308952064,1.58,61.6,47.2
2410936634,1.66,73.7,28.4
1605952976,1.71,74.2,46.8
2802942759,1.91,83.8,6.3
2007903527,1.75,84.7,2
2406877802,1.92,61.9,26
1002624535,1.74,88.8,5.1
0312717659,1.67,88.6,4.4
1508663376,1.75,72.1,32.6
2604582854,1.61,65,46.4
2901920929,1.86,86.6,3.4
0612599191,1.82,91.8,11.6
1710544391,1.87,79.1,1.2
0203741700,1.78,65.7,37.8
2006898529,1.81,77.6,5.5
1508822323,1.76,92,6.2
1806671761,1.8,92.9,2.1
2203796455,1.65,89.1,1.1
2309753095,1.61,91.1,2.1
1209863873,1.88,99.3,7.7
1410631561,1.97,80,1.1
0406651105,1.84,92.7,1.8
2101561912,1.59,69.6,35.5
3004698469,1.8,84.1,5.6
1502985770,1.76,68.8,35.4
2909671893,1.93,77.6,2.3
0604740472,1.93,73.8,24.1
2707963524,1.63,68.7,48
0210849986,1.71,71.5,28.8
0107919688,1.65,68.8,27.9
2209817936,1.7,70.8,41.8
2308782270,1.54,72.8,28.1
2708656435,1.87,86.7,12.7
1411694170,1.64,71.2,45
1906753605,1.81,81.4,0.3
3004557692,1.57,80.3,39.5
0808928137,1.81,90.1,1.4
1508778094,1.7,78.3,27.3
1412782056,1.52,70.6,43.6
3006696398,1.68,66.3,46.9
0603824820,1.81,70.5,44.9
1211943688,1.75,72.2,33.6
1503702028,1.74,63.2,35.4
0812619422,1.62,69.2,34.7
2011745206,1.56,66.4,35.2
0303713747,1.86,88.4,2.4
0304787802,1.68,69.4,51.6
0310799028,1.8,71,34.7
1712663091,1.97,92.6,8.4
2207992835,1.74,84.7,9.2
2304911513,1.83,82.6,4.5
0406939789,1.88,90.6,0.7
2605826996,1.75,71.4,35
2210790375,1.86,89.6,3.4
2607990373,1.81,86.4,5.6
2108792544,1.75,68.6,35.7
2905812549,1.7,92,1
3006729814,1.77,71.6,41.8
2907882035,1.8,88.2,1.7
0606749087,1.54,87,10.8
1712601250,1.7,77.4,36.8
1305786359,1.69,84.1,5
0606823644,1.64,71.6,46.3
1511902481,1.99,78.9,6.4
1003803397,1.69,83,9.2
2305518182,1.66,65.7,40.9
2602956891,1.95,84.1,4.7
2211772015,1.8,84.8,2.2
2103786602,1.84,65,40.5
0711914108,1.62,72.1,36.9
1602932501,1.95,86.9,0.2
2210708383,1.98,82.2,3.3
2105781385,1.74,81.5,7.2
2811533018,1.56,79.5,26.5
2312675667,1.61,88,1.8
2802989822,1.75,68.9,26.2
2708874222,1.55,77.8,52.4
1701699896,1.69,69.9,44.3
1706885765,1.75,85.2,8
1504853365,1.75,86.5,5.1
2402619610,1.66,72.1,31.3
1104904806,1.63,73.7,35.1
1011785367,1.63,84.5,9.1
0805801688,1.6,64.5,40.4
1502925007,1.92,92.5,7.2
2812519384,1.56,64.9,31.4
2707729329,1.73,96.8,13.1
0306842996,1.63,71.6,41.1
1702542362,1.75,70.2,38.1
0911783062,1.66,70.4,25.1
2512794965,1.75,83.5,11.3
2802759297,1.95,83.3,4.1
1603892034,1.56,75,26.9
2410855031,1.95,81.2,4.4
0402860004,1.69,67.3,42.9
1309676930,1.69,75.6,39.9
2308882618,1.66,63.9,28
2911912106,1.84,72.8,35.3
2012804886,1.81,67.8,36.2
3008776996,1.7,69.6,27.3
0406934417,1.84,84.4,6.7
2609901471,1.92,81.4,10.4
1111631412,1.66,64.7,53.9
1905879738,1.6,70.6,38.6
0307788673,1.82,74,5
1312805625,1.89,91.7,4.5
2604879898,1.59,63.2,40.2
1107837007,1.81,82.3,6.3
0802515634,1.57,68.2,46.4
2603756099,1.84,89.5,4.2
0306825024,1.71,61,33.6
1703791658,1.66,72.1,40.7
0702894672,1.71,60.9,33.3
2412633292,1.76,64,43.1
2404754525,1.79,78.2,5.9
1502867413,1.7,81.1,5.1
2104806663,1.81,82.3,4
1701737644,1.82,67.2,36.2
1706767637,1.84,91.5,1.3
0803663211,1.66,93.5,0.9
1810868113,1.75,91.2,6.4
0306839698,1.74,68.3,35.9
1512979990,1.76,66.4,31.6
1306779269,1.84,91.7,3
2302663530,1.66,65,39.6
0810631903,1.91,76.4,6.1
0211827347,1.71,84.2,0.5
2408940088,1.65,68.6,46.5
2012634035,1.8,83.6,6.1
1205825246,1.71,63.3,28.7
0805965416,1.7,70.2,35.9
2504889858,1.68,70.8,38.2
1804828434,1.73,70.1,35.2
0909718904,1.72,75.5,30.8
2603553252,1.61,80.7,18.5
2006959083,1.9,88.3,7
1808810434,1.75,68.4,45
0610753150,1.56,77.4,37.4
0904666858,1.73,78.9,36.1
1304810636,1.66,79.2,39.9
1109888064,1.6,64.8,38.4
1903776663,1.7,87,1.2
2904962951,1.71,86.2,2.4
0407790744,1.63,71.9,38
2707720714,1.5,65.5,35
1004927204,1.77,68,39.9
1712871511,1.71,92.5,8.3
0704952418,1.51,83.1,36.6
0212862032,1.73,67.8,34.2
1805623117,1.91,83.9,6.2
0805855289,1.98,83.5,10.1
0208981398,1.84,79.8,32.1
1201725757,1.89,88.8,6.7
1208996931,1.73,82.3,14.5
1405572758,1.65,65,44.1
0106799955,1.85,87.8,3.5
0801705713,1.91,86.9,7.6
2904770334,1.55,69,42.9
1710750519,1.64,72.6,5.1
2212540711,1.89,83.6,5.1
1902635090,1.81,76,34.4
1407519867,1.69,78.5,4.8
0705529775,1.78,89,3.8
2611800001,1.65,90.4,7.1
0107576994,1.68,70.6,35.6
1012888774,1.59,75,31.6
1109987065,1.94,91.8,5.9
0106993012,1.66,64.4,39
1812632808,1.8,71.3,33.3
2412972703,1.79,88.6,5.6
2512834632,1.63,61.5,26.4
0904840157,1.82,93.2,7.9
2211947686,1.64,77.6,25.4
2406782219,1.82,81.2,5.5
0210837493,1.63,87.4,6.7
2807674994,1.64,61.4,24.1
2511674612,1.5,61.6,51.1
2802670371,1.79,92.7,9.6
1812758352,1.71,72.5,31.2
3012874740,1.68,70.9,27.2
0512915780,1.76,65.5,32
1511852930,1.79,82.5,28.1
1505819368,1.69,67.1,30
1704549798,1.52,66.3,26.6
1803855354,1.54,73,33
2006903352,1.71,64.3,32.5
2809927860,1.56,66.5,26.3
2711925159,1.87,85.9,9.6
0503840385,1.74,83.4,5.9
0902654839,1.76,84.7,3.8
0409658634,1.68,74.8,31.1
0705838537,1.86,88.5,3
0808724879,1.76,89.2,3
3009979361,1.73,87.1,0.6
1312951054,1.55,70.1,38.1
1109888446,1.67,71.7,30.1
2906715330,1.51,75.6,30.7
0705695999,1.76,90.2,6.2
1712551966,1.98,67.2,36.5
0501961509,1.8,89.2,9.3
0902871702,1.83,68.2,43.3
2305882713,1.92,85.6,5.5
1412504103,1.67,95.4,2.2
0807615655,1.85,81,3.9
2311724109,1.86,83.4,4
0803560341,1.78,85.8,0.5
1609866409,1.85,80.4,6.6
0402829732,1.5,61.4,42.9
0912723725,1.75,90.2,5
2909932856,1.7,71.2,38.2
2911895156,1.58,64.8,25.9
2912773094,1.8,70.8,43
2410865715,1.93,96.8,4.3
1608680418,1.68,68.4,35
2601769839,1.95,89.6,6
1605935335,1.82,81.1,0.5
0205798602,1.67,67.1,34.5
1402616053,1.93,79.3,9.8
1211734040,1.65,61.8,26.1
2302520523,1.75,90.5,1.7
1702630672,1.58,57.4,35.3
0706614024,1.62,76.2,25.8
1405900129,1.77,95.8,2.1
0204877658,1.64,66.7,46.5
0808891020,1.51,68.4,36.2
2307590531,1.64,84.6,4.1
1708989878,1.81,69.2,34.4
0204790821,1.97,88.4,3.6
0108821511,1.93,82.7,7.8
2208714568,1.59,72.3,30.1
0905706389,1.81,89.9,5.3
2006858809,1.85,86.8,6
0603809451,1.93,88,5.2
2306878460,1.57,66.7,27
2302563569,1.76,85.1,5.3
2203913793,1.63,90.5,11.8
2009755282,1.79,67.4,39.6
2403661459,1.86,84.6,6.8
2611898231,1.86,97.7,2.6
2010624719,1.68,95.8,4.9
2807930921,1.86,92.2,3.6
0501855101,1.79,83.1,5.1
1908850351,1.84,78.9,1.2
2606897494,1.66,69.7,37.8
0107726971,1.9,93.4,5
2802748975,1.71,87.6,2.5
1002862951,1.84,84.2,6.4
1206803177,1.92,91.9,10.9
1407786169,1.7,92.2,6.2
0110817348,1.71,71.4,54.7
3012722300,1.74,73.8,41.5
1902650825,1.88,96,6.4
3009636816,1.52,65.8,42.1
1507922716,1.52,72.4,46.5
2007647453,1.75,87.3,9.6
2806968654,1.69,65.5,39.1
0707849612,1.69,65.5,40.7
2310772092,1.63,65.5,38.4
1202812512,1.59,66.4,26.3
1704783055,1.78,89.1,7.5
1110737914,1.56,72.1,39.1
1510855364,1.63,68.7,33.8
2007871824,1.55,64.9,34
2107574375,1.81,91.5,5.9
0801837263,1.97,85,1.9
2312943994,1.64,68.2,34.3
1512974693,1.88,82.1,6.3
2507746273,1.71,78.4,4.1
0311917934,1.6,79.7,30.1
0806507222,1.61,70.5,20.7
1709945013,1.82,77.7,8.6
3105891414,1.59,70.6,26.1
2701937939,1.7,87,0.4
0707898845,1.73,80.9,1.4
0409695719,1.84,84.8,6.8
1612737634,1.92,74.7,37.4
1201635842,1.62,74.3,42.1
2606791502,1.72,63.8,23.8
1204885528,1.82,63.6,23
2904738499,1.9,92.9,3.9
0512997373,1.75,90,8.9
2802962215,1.96,81.6,4.2
2208870747,1.68,87.4,5
0601712433,1.81,88.4,2.6
0212849688,1.57,67.2,39.2
2308756920,1.65,67.1,33.2
2408900792,1.77,71,27.5
1912851754,1.77,64.2,34.2
